"anio","cuadro","correlativo_filas","correlativo_columnas","valor","unidad","id_agregado_balance","agregado_balance","id_detalle","detalle","id_naeg","naeg","id_ntg","ntg","id_oferta_utilizacion","oferta_utilizacion","id_ntge","ntge","id_ntge_compacto","ntge_compacto","id_ntgeM","ntgeM","id_primaria_secundaria","primaria_secundaria","id_energetico","energetico","id_npg4","npg4","id_tipo_energia","tipo_energia","id_filasXcolumnas","id_ambiente_economia","ambiente_economia"
2013,"Balance Energético","bf001","bc001",21015.6664352174,"Terajoules",1,"OFERTA TOTAL","OT01","Producción",NA,NA,"P1","Producción",1,"Oferta",1,"Producción",1,"Producción / Consumo Intermedio",1,"Producción",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","11EP01",1,"Economía"
2013,"Balance Energético","bf002","bc001",0,"Terajoules",1,"OFERTA TOTAL","OT02","Importación",NA,NA,"P7","Importaciones de bienes y servicios",1,"Oferta",2,"Importaciones de bienes y servicios",3,"Importación y Exportación",2,"Importaciones de bienes y servicios",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","12EP01",1,"Economía"
2013,"Balance Energético","bf003","bc001",18584.926158614,"Terajoules",1,"OFERTA TOTAL","OT03","Exportación",NA,NA,"P6","Exportaciones de bienes y servicios",2,"Utilización",6,"Exportaciones de bienes y servicios",3,"Importación y Exportación",6,"Exportaciones de bienes y servicios",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","26EP01",1,"Economía"
2013,"Balance Energético","bf004","bc001",-338.231859710832,"Terajoules",1,"OFERTA TOTAL","OT04","Variación De Inventarios",NA,NA,"P5","Formación de capital",2,"Utilización",7,"Formación de capital",5,"Formación de capital",7,"Formación de capital",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","27EP01",1,"Economía"
2013,"Balance Energético","bf005","bc001",0,"Terajoules",1,"OFERTA TOTAL","OT05","No Aprovechado",NA,NA,NA,NA,2,"Utilización",9,"No aprovechado",6,"Residuos energéticos",9,"No aprovechado",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","29EP01",2,"Ambiente"
2013,"Balance Energético","bf007","bc001",2768.97213631424,"Terajoules",2,"TRANSFORMACIÓN","TR01","Refinerías","AE062","Fabricación de coque y productos de la refinación del petróleo","P2","Consumo intermedio",2,"Utilización",3,"Transformación de energéticos",2,"Transformación de energéticos",4,"Consumo de energéticos (intermedio y final)",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","23EP01",1,"Economía"
2013,"Balance Energético","bf008","bc001",0,"Terajoules",2,"TRANSFORMACIÓN","TR02","Centrales Eléctricas","AE082","Suministro de electricidad, gas, vapor y aire acondicionado","P2","Consumo intermedio",2,"Utilización",3,"Transformación de energéticos",2,"Transformación de energéticos",4,"Consumo de energéticos (intermedio y final)",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","23EP01",1,"Economía"
2013,"Balance Energético","bf009","bc001",0,"Terajoules",2,"TRANSFORMACIÓN","TR03","Autoproductores","AE082","Suministro de electricidad, gas, vapor y aire acondicionado","P2","Consumo intermedio",2,"Utilización",3,"Transformación de energéticos",2,"Transformación de energéticos",4,"Consumo de energéticos (intermedio y final)",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","23EP01",1,"Economía"
2013,"Balance Energético","bf010","bc001",0,"Terajoules",2,"TRANSFORMACIÓN","TR04","Centros De Gas","AE082","Suministro de electricidad, gas, vapor y aire acondicionado","P2","Consumo intermedio",2,"Utilización",3,"Transformación de energéticos",2,"Transformación de energéticos",4,"Consumo de energéticos (intermedio y final)",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","23EP01",1,"Economía"
2013,"Balance Energético","bf011","bc001",0,"Terajoules",2,"TRANSFORMACIÓN","TR05","Carbonera","AE081","Otras industrias manufactureras","P2","Consumo intermedio",2,"Utilización",3,"Transformación de energéticos",2,"Transformación de energéticos",4,"Consumo de energéticos (intermedio y final)",1,"Energía primaria","EP01","Petróleo","P1701","Petróleo crudo y gas natural",2,"Productos","23EP01",1,"Economía"
